"id"	"oas"
"WAPL"	"oas:101114585"
"NEBL"	"oas:101102163"
"NUMB"	"oas:101117488"
"IL20RA"	"oas:101112653"
"RELN"	"oas:101120658"
"RELN"	"oas:101120658"
"SP3"	"oas:100462691"
"DCAF16"	"oas:101121517"
"SEC62"	"oas:101119522"
"ADGRG5"	"oas:101102583"
"GJA4"	"oas:101107643"
"IL22RA2"	"oas:101121781"
"IL22RA2"	"oas:101121781"
"DUSP26"	"oas:101108886"
"TTC17"	"oas:101111003"
"NFKB2"	"oas:443119"
"ALDOC"	"oas:101105422"
"SOD3"	"oas:101104150"
"SRPX"	"oas:101121073"
"RPTOR"	"oas:101119321"
"TXLNA"	"oas:101116887"
"SRRM2"	"oas:101118752"
"SRRM2"	"oas:101118752"
"NLRP12"	"oas:101117610"
"KDM4A"	"oas:101111840"
"CCNK"	"oas:101117113"
"GLRA4"	"oas:101120810"
"ITGA9"	"oas:101109832"
"OPN4"	"oas:101111250"
"RNF24"	"oas:101119578"
"RNF5"	"oas:101114214"
"RNF5"	"oas:101114214"
"SMIM12"	"oas:101107909"
"HEATR4"	"oas:101104156"
"HSH2D"	"oas:101117244"
"SAMD7"	"oas:101119779"
"IFNGR1"	"oas:101112907"
"LRFN2"	"oas:101107233"
"KRBA1"	"oas:101108383"
"ST3GAL3"	"oas:101112269"
"ADGRG1"	"oas:101120942"
"TLR10"	"oas:554255"
"NDUFAB1"	"oas:101116843"
"SLITRK5"	"oas:101104763"
"RANGRF"	"oas:101107111"
"SKIDA1"	"oas:101112839"
"HERC5"	"oas:101119562"
"C1orf216"	"oas:101116275"
"CIB2"	"oas:100302744"
"AGPAT1"	"oas:443121"
"ANK2"	"oas:100217410"
"ANK2"	"oas:100217410"
"TLR1"	"oas:554261"
"C14orf169"	"oas:105606501"
"ELF3"	"oas:101118582"
"PRR16"	"oas:101113754"
"PLP1"	"oas:101106848"
"PLP1"	"oas:101106848"
"PTPRM"	"oas:101102951"
"PTPRM"	"oas:101102951"
"TLR6"	"oas:554257"
"GPC5"	"oas:101106341"
"SLC22A8"	"oas:101117544"
"PRPF4B"	"oas:101109653"
"RANBP2"	"oas:101119088"
"FAM170A"	"oas:105613133"
"TMEM130"	"oas:101103866"
"TNFAIP3"	"oas:101104657"
"RHOH"	"oas:100147795"
"CYSLTR1"	"oas:101122003"
"GSDMD"	"oas:101117254"
"CDCA7"	"oas:101111162"
"CDCA7"	"oas:101111162"
"FLII"	"oas:101101844"
"LRRC31"	"oas:101113905"
"LRRC31"	"oas:101113905"
"SLC25A53"	"oas:101122501"
"NPTX1"	"oas:101119737"
"UNC5D"	"oas:101109148"
"IDH3A"	"oas:101120868"
"ACOT4"	"oas:101103726"
"UNC5CL"	"oas:101107479"
"FAM199X"	"oas:101123014"
"LSM3"	"oas:101105285"
"FLYWCH2"	"oas:101116790"
"NPTX2"	"oas:101104118"
"FLT4"	"oas:101117247"
"PLXNB1"	"oas:101120025"
"RPGR"	"oas:101109708"
"LDB3"	"oas:101105772"
"PERP"	"oas:101106647"
"RBBP9"	"oas:101122206"
"ADGRG3"	"oas:101121194"
"DCT"	"oas:101121236"
"DCT"	"oas:101121236"
"RAB8A"	"oas:100302063"
"CCDC85C"	"oas:105603308"
"KPNA6"	"oas:101117141"
"S100A5"	"oas:101104541"
"IPO13"	"oas:101113708"
"CIT"	"oas:100170328"
"CIT"	"oas:100170328"
"KCNU1"	"oas:101110209"
"HTR3A"	"oas:101110536"
"IQUB"	"oas:101105744"
"DNAL1"	"oas:101104495"
"LRRIQ4"	"oas:101120037"
"DIAPH1"	"oas:101106682"
"EHMT1"	"oas:101123545"
"CTDSPL"	"oas:101120412"
"S100A4"	"oas:101104794"
"TMEM39B"	"oas:101117566"
"FAM83D"	"oas:101102582"
"SMTNL2"	"oas:101112746"
"DPH2"	"oas:101113967"
"BMPR1A"	"oas:101112282"
"PSD"	"oas:101105738"
"MAD2L2"	"oas:101112078"
"S100A3"	"oas:106990134"
"KREMEN2"	"oas:101119273"
"FUOM"	"oas:101113117"
"ACSBG1"	"oas:101121296"
"ACSBG1"	"oas:101121296"
"ATP6V0B"	"oas:101114221"
"KHDRBS1"	"oas:101117825"
"TMEM183A"	"oas:101109550"
"ARRDC1"	"oas:101101973"
"SLC25A35"	"oas:101107368"
"S100A2"	"oas:101105293"
"ARFGEF3"	"oas:101113941"
"PAQR4"	"oas:101119527"
"OTC"	"oas:101112098"
"TSPO2"	"oas:105606555"
"ELMSAN1"	"oas:101105164"
"SCN3B"	"oas:101113095"
"PTP4A2"	"oas:101118084"
"MMRN2"	"oas:101112788"
"MMRN2"	"oas:101112788"
"B4GALT2"	"oas:101114825"
"PTPN7"	"oas:101114718"
"LRRC34"	"oas:101114161"
"S100A16"	"oas:101105789"
"VILL"	"oas:101110570"
"SART1"	"oas:101103685"
"ALKBH5"	"oas:101111111"
"TNNT3"	"oas:101104467"
"DRC7"	"oas:101102834"
"ERLIN2"	"oas:101110479"
"CALCR"	"oas:101115511"
"BRWD3"	"oas:101120385"
"SNCG"	"oas:101113039"
"TGDS"	"oas:443192"
"HSD17B4"	"oas:101114519"
"RAB12"	"oas:101103204"
"ITIH4"	"oas:101108959"
"XPC"	"oas:101109650"
"CHTOP"	"oas:101106216"
"PKMYT1"	"oas:101119784"
"CCDC138"	"oas:101109087"
"CHRM5"	"oas:101110766"
"ADIRF"	"oas:105605046"
"DNAJA4"	"oas:101121551"
"LAMC2"	"oas:100216328"
"CSPP1"	"oas:101102495"
"TNFRSF12A"	"oas:101117554"
"PANK2"	"oas:100217410"
"PROSC"	"oas:101117730"
"ZNF770"	"oas:101111809"
"MYNN"	"oas:101120539"
"SNAPIN"	"oas:101123177"
"KLF17"	"oas:101108444"
"ZNF410"	"oas:101105254"
"ASPHD2"	"oas:101118136"
"ENDOV"	"oas:101119998"
"PLRG1"	"oas:101102933"
"PLRG1"	"oas:101102933"
"GLUD1"	"oas:106990103"
"ZNF202"	"oas:101113358"
"PLCD1"	"oas:101110367"
"ASB15"	"oas:101106002"
"EIF3A"	"oas:100137071"
"NRK"	"oas:101120870"
"NRK"	"oas:101120870"
"MET"	"oas:101114754"
"MET"	"oas:101114754"
"PPT2"	"oas:101112855"
"PPT2"	"oas:101112855"
"SLC2A4RG"	"oas:101110576"
"REM1"	"oas:101121399"
"ILF2"	"oas:101106476"
"BAIAP2L1"	"oas:101114328"
"SPOCD1"	"oas:101106499"
"HEBP2"	"oas:101114199"
"GABRD"	"oas:101122539"
"DPH7"	"oas:101102470"
"CRABP1"	"oas:101122057"
"FAM161B"	"oas:101105415"
"BRI3"	"oas:101120525"
"FBXO39"	"oas:101103406"
"PEX11G"	"oas:101122599"
"DMAP1"	"oas:101115583"
"MTCL1"	"oas:101103445"
"KATNB1"	"oas:101121192"
"ACTRT3"	"oas:101120792"
"PXDC1"	"oas:101121981"
"ZC3H3"	"oas:101114029"
"STAT5A"	"oas:443419"
"NHSL1"	"oas:101114450"
"PARP1"	"oas:101114323"
"RPL10L"	"oas:101120838"
"CALY"	"oas:101106679"
"TRIM68"	"oas:101113359"
"APOBEC2"	"oas:101103930"
